height(inches),weight(pounds),footsize(inches),gender
64.4,121.3,8.9,Male
69.1,170.2,10.2,Male
60.6,127.9,8.6,Female
68.2,177.1,10.1,Male
65.9,135.8,8.9,Female
63.1,121.8,9.3,Female
70.3,183.5,11.1,Male
62.9,141.7,8.5,Female
67.5,162.1,9.9,Male
68.8,168.2,10.5,Male
64.7,121.9,9.4,Female
69.4,166.4,10.3,Male
66.7,150.8,9.2,Female
66.1,133.5,9.0,Female
70.5,178.0,10.7,Male
64.5,128.9,8.8,Female
67.6,159.8,10.1,Male
68.4,179.2,9.7,Male
63.7,128.4,8.8,Female
66.5,146.5,9.5,Female
71.1,183.9,11.0,Male
67.3,168.1,10.3,Male
64.9,121.7,8.8,Female
69.0,157.8,9.9,Male
65.4,126.4,8.7,Female
65.8,135.6,9.1,Female
70.7,177.4,10.8,Male
62.3,116.6,8.4,Female
67.7,164.1,10.0,Male
68.3,171.6,10.3,Male
64.1,123.6,8.8,Female
68.7,163.8,9.9,Male
65.6,128.2,8.6,Female
69.6,169.2,10.2,Male
67.8,172.7,10.4,Male
65.1,123.4,8.7,Female
69.2,153.0,9.4,Male
68.6,166.6,10.2,Male
62.8,135.7,8.3,Female
70.4,180.4,10.9,Male
63.4,131.8,8.7,Female
66.9,156.1,9.8,Male
68.1,168.7,10.2,Male
63.2,126.9,9.1,Female
66.3,148.3,9.7,Female
70.8,178.3,10.9,Male
64.8,123.7,8.9,Female
66.8,152.8,9.7,Male
67.9,176.1,9.9,Male
64.3,126.7,8.8,Female
68.9,168.9,10.0,Male
64.2,131.2,8.7,Female
69.3,163.4,9.9,Male
